,cancion,danceability,energy,speachiness,acousticness,tempo
192,Whiskey Glasses,0.65,0.845,0.0499,0.014,123.038
193,WAIT FOR U (feat. Drake & Tems),0.505,0.536,0.156,0.0756,84.755
194,Low Down,0.962,0.619,0.405,0.0354,127.956
195,Passionfruit,0.809,0.463,0.0396,0.256,111.98
196,Stick Talk,0.729,0.672,0.282,0.0265,159.903
197,"Bitch, Don’t Kill My Vibe",0.587,0.698,0.0943,0.0152,133.954
198,LOVE. FEAT. ZACARI.,0.8,0.585,0.0924,0.264,126.058
199,Madonna,0.905,0.492,0.0595,0.0149,110.017
200,Entre las de 20,0.774,0.736,0.0452,0.0933,135.788
201,Si No Quieres No,0.786,0.786,0.0512,0.445,100.123
202,Vicio Duro,0.779,0.576,0.0381,0.311,119.981
203,"Natanael Cano: Bzrp Music Sessions, Vol. 59",0.671,0.8,0.0695,0.0595,166.9
204,Y LLORO,0.728,0.589,0.0376,0.424,77.475
205,Brillarosa,0.771,0.782,0.0341,0.305,125.027
206,300 Noches,0.795,0.781,0.0812,0.296,124.133
207,Sola Va A Caer,0.88,0.689,0.118,0.166,115.959
208,El Boss,0.777,0.535,0.0559,0.0661,132.272
209,EXCESOS,0.742,0.873,0.0519,0.172,128.053
210,Elvira,0.76,0.711,0.0646,0.0812,128.134
211,La Torre,0.182,0.114,0.0348,0.974,69.665
212,ADIVINO,0.786,0.854,0.0741,0.169,117.994
213,Que Onda,0.808,0.944,0.0408,0.183,124.934
214,Santa,0.89,0.281,0.3,0.471,149.984
215,LADY GAGA,0.502,0.761,0.0389,0.47,164.784
216,MÏA,0.84,0.762,0.226,0.00736,99.987
217,RUBICON,0.868,0.745,0.268,0.187,139.9
218,BARBIEZ,0.62,0.738,0.0292,0.00879,127.982
219,La Diabla,0.751,0.819,0.0409,0.255,131.842
220,Don Dimadon,0.858,0.811,0.187,0.015,121.976
221,LUNA,0.704,0.433,0.196,0.0708,113.943
222,LA PEOPLE II,0.823,0.785,0.0542,0.296,131.849
223,Corazón de Piedra,0.834,0.763,0.0835,0.0354,134.844
224,HARLEY QUINN,0.793,0.761,0.11,0.067,125.045
225,En Terapia,0.743,0.893,0.0589,0.136,94.044
226,Mas Altas Que Bajadas,0.577,0.573,0.156,0.00561,181.072
227,SABOR FRESA,0.778,0.864,0.0907,0.0898,130.17
228,Un Desperdicio,0.764,0.668,0.101,0.143,148.055
229,ATEO,0.772,0.807,0.519,0.00391,83.828
230,"Ride Or Die, Pt. 2 (with Villano Antillano & Tokischa)",0.767,0.72,0.0659,0.0877,139.995
231,Pacas De Billetes,0.718,0.726,0.0403,0.0889,142.986
232,LA PEOPLE,0.823,0.785,0.0542,0.296,131.849
233,DEJA VU,0.723,0.618,0.0398,0.0148,127.989
234,LOU LOU,0.739,0.579,0.0509,0.0622,130.002
235,Moscow Mule,0.493,0.963,0.0638,2.25e-05,147.992
236,UNA CERVEZA,0.725,0.801,0.0372,0.0333,135.162
237,todo,0.848,0.895,0.241,0.0309,125.024
238,BELLAKEO,0.72,0.88,0.101,0.0562,180.011
239,TQM,0.388,0.648,0.038,0.116,163.861
240,Diamantes,0.662,0.759,0.0353,0.389,92.438
241,Soy especial y ellos pa' pasar el rato,0.554,0.437,0.0853,0.705,138.382
242,La Víctima,0.778,0.835,0.0767,0.152,140.082
243,FARDOS,0.785,0.897,0.0332,0.14,121.982
244,YW&F - Versión Reggaeton,0.7,0.608,0.0471,0.184,98.033
245,SSS y no la de balvin,0.718,0.711,0.11,0.157,173.916
246,ROCKSTAR,0.688,0.466,0.0641,0.29,76.005
247,PRC,0.419,0.731,0.0745,0.0762,140.983
248,A Puro Dolor,0.743,0.634,0.0334,0.0632,129.888
249,Bailando,0.807,0.644,0.0308,0.669,130.015
250,Proyecto X,0.796,0.55,0.0746,0.137,127.982
251,Tipo Gatsby,0.563,0.84,0.0309,0.021,125.613
252,Igual Que Un Ángel (with Peso Pluma),0.693,0.0972,0.0367,0.806,84.989
253,Bendecida,0.67,0.476,0.0333,0.0117,110.948
254,El Azul,0.561,0.643,0.054,0.232,143.907
255,Regalo De Dios,0.792,0.516,0.027,0.197,108.939
256,Ojitos Lindos,0.647,0.686,0.0413,0.08,79.928
257,FLASHES,0.839,0.83,0.0479,0.363,117.997
258,Efecto,0.801,0.475,0.0516,0.141,98.047
259,Vete,0.462,0.421,0.0496,0.979,184.006
260,GTA,0.817,0.505,0.319,0.123,76.991
261,A 200,0.573,0.716,0.27,0.409,131.781
262,Brillo,0.771,0.782,0.0341,0.305,125.027
263,QLONA,0.854,0.374,0.303,0.211,99.978
264,O Me Voy O Te Vas,0.684,0.509,0.0397,0.076,99.24
265,FoNo,0.747,0.126,0.79,0.716,94.466
266,Mente Positiva,0.576,0.604,0.047,0.27,99.746
267,$AD BOYZ II,0.548,0.591,0.0592,0.399,83.411
268,Morritas,0.675,0.611,0.0261,0.593,95.074
269,LOCO CON CHOCARTE,0.708,0.54,0.251,0.0138,172.094
270,Jálale alv,0.899,0.7,0.11,0.218,134.831
271,Primera Cita,0.536,0.396,0.0687,0.604,157.846
272,Ch y la Pizza,0.628,0.668,0.117,0.329,148.746
273,Cherokee,0.424,0.0169,0.0438,0.993,132.176
274,Como Jordan,0.714,0.873,0.0311,0.028,112.503
275,DILUVIO,0.9,0.648,0.162,0.4,91.992
276,Tití Me Preguntó,0.858,0.945,0.0387,0.288,127.989
277,Oscuridad,0.731,0.658,0.0343,0.0769,109.982
278,Fin de Semana,0.699,0.541,0.0826,0.0628,98.395
279,PERRO NEGRO,0.873,0.53,0.203,0.526,94.978
280,Lalalalalá,0.948,0.579,0.0928,0.13,121.999
281,CRAZYZ,0.809,0.849,0.0738,0.251,126
282,Apaga El Cel,0.842,0.445,0.0698,0.0349,99.988
283,Me Porto Bonito,0.885,0.732,0.0687,0.0638,97.004
284,PALETA,0.782,0.798,0.219,0.0815,175.917
285,Selfies,0.782,0.722,0.0309,0.783,133.826
286,Igualito a Mi Apá,0.758,0.812,0.0854,0.188,144.908
287,ROMPECABEZAS,0.742,0.887,0.0313,0.0264,119.989
288,EL AMOR DE SU VIDA,0.616,0.834,0.0664,0.06,151.701
289,Mi Bello Angel,0.807,0.665,0.0497,0.0185,127.909
290,ELOVRGA,0.808,0.454,0.0434,0.124,130.025
291,Guayani,0.566,0.765,0.293,0.144,82.621
292,Alucin,0.787,0.769,0.0335,0.00331,128
293,Dile a El,0.818,0.697,0.0367,0.295,126.966
294,Yonaguni,0.653,0.139,0.0348,0.916,80.011
295,120,0.707,0.341,0.935,0.278,133.7
296,Blame Brett,0.461,0.874,0.046,0.00364,156.023
297,Creeper,0.514,0.603,0.0249,0.0254,90.989
298,BABY SAID,0.622,0.715,0.0323,0.000982,131.012
299,FedEx,0.797,0.644,0.175,0.00881,138.041
300,LosT,0.632,0.613,0.056,0.877,163.149
301,Marvin Lee,0.492,0.26,0.0921,0.646,111.519
302,Run it Up,0.867,0.591,0.128,0.172,148.007
303,State Of Mind,0.669,0.835,0.0352,0.0118,126.022
304,Embers,0.262,0.00716,0.0382,0.996,160.852
305,Forgotten One,0.52,0.983,0.0859,0.000971,95.962
306,Hanging by a Thread,0.541,0.864,0.0357,0.00118,124.557
307,Lay Me Down,0.418,0.332,0.0492,0.771,119.164
308,Straight Shooter,0.612,0.644,0.0288,0.754,119.809
309,Revolution,0.408,0.831,0.208,0.0733,121.38
310,Soda Fountain,0.947,0.439,0.109,0.183,109.99
311,How It B,0.654,0.479,0.0416,0.0142,75.523
312,John Hartleyborne (Must Die),0.556,0.476,0.0257,0.182,93.997
313,Who Will Save You Now,0.218,0.462,0.0557,0.39,119.976
314,Reprise,0.595,0.448,0.0267,0.925,120.117
315,Big Blue,0.509,0.458,0.0329,0.869,137.109
316,This Love,0.712,0.862,0.0378,0.0525,95.051
317,Guilty,0.566,0.969,0.046,0.0287,100.012
318,A Little Bit Happy,0.589,0.685,0.0306,0.363,111.903
319,I Don't Know,0.673,0.207,0.0857,0.584,90.024
320,Shame,0.714,0.665,0.0381,0.00588,133.805
321,Resurrection,0.139,0.0484,0.0344,0.103,81.445
322,Tough Lover,0.541,0.7,0.279,0.617,94.384
323,Ocean On The Moon,0.156,0.0155,0.0457,0.985,136.852
324,MY HAPPINESS,0.445,0.823,0.0302,0.00163,85.935
325,Pray for You,0.732,0.678,0.0886,0.0867,100.626
326,My Eyelash Girl,0.455,0.621,0.0517,0.651,119.043
327,Stay Blessed,0.585,0.485,0.431,0.187,77.733
328,Mountain Blue,0.463,0.462,0.0276,0.366,61.548
329,Not Strong Enough,0.502,0.798,0.0414,0.00291,126.976
330,Looking From a Distance,0.417,0.0909,0.0373,0.959,90.075
331,God Bless the Irony,0.299,0.422,0.0285,0.0873,67.797
332,Irrational,0.754,0.59,0.046,0.192,147.107
333,I Am The Shadow,0.467,0.727,0.0724,0.0152,144.202
334,Nothing To Prove,0.752,0.758,0.114,0.0973,90.493
335,Bang Bang,0.707,0.752,0.0885,0.269,150.061
336,Doubt,0.699,0.419,0.0328,0.836,105.595
337,Almond Eyes,0.627,0.381,0.174,0.541,129.655
338,Queen of Hearts,0.658,0.862,0.0535,0.211,169.532
339,Lesson in Disappointment,0.612,0.804,0.0543,0.273,80.771
340,Is Metal,0.35,0.967,0.1,0.000153,153.656
341,Wild,0.889,0.416,0.107,0.224,127.98
342,Boutique Suite in Funky Fitzroy,0.906,0.564,0.0568,0.000928,122.632
343,Let Me In Your Band,0.483,0.795,0.181,0.00258,171.853
344,No Ones' Burden,0.313,0.894,0.0294,0.122,149.044
345,Cocaine,0.776,0.582,0.0684,0.331,92.031
346,27,0.681,0.376,0.957,0.616,98.77
347,To My Heart,0.633,0.771,0.144,0.0749,81.317
348,No Different,0.867,0.646,0.288,0.303,88.634
349,In My Head,0.499,0.181,0.0429,0.745,111.956
350,Pretty Happy Alone,0.787,0.511,0.0896,0.115,90.538
351,Sever Your Faith,0.636,0.765,0.0512,0.00568,164.96
352,I'm Your Waste of Time,0.834,0.535,0.172,0.603,132.984
353,SAY THE WORD,0.604,0.817,0.031,0.121,126.966
354,FAM,0.841,0.672,0.371,0.0122,157.026
355,You're Coming Over,0.575,0.845,0.035,0.0282,127.997
356,Don't Look!,0.575,0.831,0.0356,0.00406,127.991
357,World Got So Dumb,0.667,0.815,0.0719,0.000779,92.562
358,Nikita,0.632,0.656,0.0277,0.123,86.605
359,Love From The Other Side,0.81,0.481,0.0342,0.492,114.995
360,Christian Speak (Radio Mix),0.31,0.0102,0.0406,0.995,92.244
361,You Can Let Go,0.391,0.408,0.0317,0.594,69.399
362,Breathe Out,0.636,0.7,0.421,0.341,88.817
363,Changeling,0.0905,0.000328,0.049,0.878,88.651
364,ONE MORE TIME,0.736,0.687,0.0272,0.0266,118.024
365,Machine,0.522,0.711,0.0283,0.0895,168.355
366,The Charming Snake,0.431,0.921,0.0491,0.000254,98.801
367,JJ,0.612,0.317,0.0346,0.876,101.678
368,Waiting Around,0.551,0.233,0.0312,0.71,89.574
369,OBSOLETE,0.407,0.95,0.193,0.000103,191.741
370,Loves Hold,0.598,0.58,0.0409,0.575,74.855
371,BMFR,0.614,0.351,0.0564,0.0514,140.989
372,A Place 4 Me,0.603,0.908,0.184,0.0144,133.063
373,Proof,0.396,0.671,0.0351,0.0984,156.072
374,The Ones Who Bleed,0.533,0.784,0.0349,0.0967,137.999
375,Fair Shake,0.852,0.846,0.0941,0.00414,110.026
376,Watching You Again,0.625,0.848,0.0314,0.105,137.993
377,Soul in Captivity,0.653,0.662,0.026,0.382,104.026
378,God Is a Circle,0.602,0.658,0.0558,0.0233,145.031
379,Freedom,0.591,0.651,0.0424,0.42,132.538
380,Yung Cheyney,0.507,0.685,0.314,0.0938,138.116
381,Chris Francis,0.845,0.398,0.0769,0.0553,91.98
382,Forward Fashion,0.642,0.851,0.0412,0.000744,124.992
383,Underground,0.838,0.393,0.041,0.237,95.003
384,The Real Thing,0.615,0.322,0.0282,0.77,113.064
385,Overcome,0.443,0.856,0.0418,0.000269,159.923
386,The Balance,0.5,0.0928,0.0276,0.758,103.113
387,Drones,0.304,0.019,0.312,0.994,66.405
388,Elisa,0.319,0.0662,0.0353,0.986,70.86
389,Rescued,0.431,0.183,0.0469,0.898,204.077
390,Nothing Matters,0.576,0.796,0.0375,0.0219,101.093
391,She Is Mighty,0.782,0.317,0.0357,0.567,89.925
392,Unhappier,0.553,0.522,0.0573,0.0492,81.599
393,"Sex, Secrets, Promises",0.572,0.839,0.0377,0.013,143.969
394,Lost,0.632,0.613,0.056,0.877,163.149
395,Just Hold On,0.777,0.414,0.0946,0.00421,100.002
396,Someone You Loved,0.456,0.144,0.0358,0.982,104.993
397,Sunflower - Spider-Man: Into the Spider-Verse,0.7,0.554,0.0747,0.372,179.981
398,Starboy,0.609,0.0445,0.0467,0.993,132
399,Dance Monkey,0.824,0.587,0.0937,0.69,98.029
400,One Dance,0.788,0.605,0.0578,0.00899,103.94
401,Wine 4 Me,0.721,0.411,0.0456,0.0595,100.02
402,Party,0.556,0.654,0.0459,6.35e-05,152.034
403,I'm Gonna Be Your Slave,0.685,0.717,0.0614,0.0011,139.961
404,STAY (with Justin Bieber),0.585,0.794,0.0521,0.0356,169.965
405,Kryptonite,0.545,0.865,0.0286,0.00664,99.005
406,Paper Plane,0.447,0.848,0.222,0.033,172.253
407,rockstar,0.688,0.466,0.0641,0.29,76.005
408,Man,0.84,0.762,0.226,0.00736,99.987
409,Jimmy Choo,0.893,0.646,0.1,0.112,132.97
410,This Heart Of Mine,0.406,0.843,0.0526,0.0889,150.054
411,Heat Waves,0.761,0.525,0.0944,0.44,80.87
412,All Along - Radio Edit,0.429,0.812,0.0657,0.00282,113.279
413,Who'll Stop the People - District 12 Mix,0.627,0.873,0.0311,0.00804,123.113
414,Perfect,0.878,0.553,0.302,0.184,98.019
415,Jiffy,0.833,0.641,0.107,0.355,139.982
416,Closer,0.738,0.541,0.0303,0.415,94.949
417,Where The Cavemen Sleep,0.756,0.796,0.039,0.363,92.009
418,Señorita,0.783,0.671,0.0312,0.0372,117.038
419,Say You Won't Let Go,0.358,0.557,0.059,0.695,85.043
420,Run It,0.774,0.348,0.429,0.49,166.109
421,lovely (with Khalid),0.246,0.311,0.0368,0.94,115.268
422,Watermelon Sugar,0.749,0.884,0.289,0.0628,149.845
423,Don't Start Now,0.793,0.793,0.083,0.0123,123.95
424,Lucid Dreams,0.124,0.0854,0.0368,0.946,177.591
425,Ghost,0.695,0.677,0.158,0.00468,95.625
426,bad guy,0.65,0.477,0.0601,0.00288,152.409
427,Thinking out Loud,0.38,0.145,0.0326,0.988,135.548
428,if u think i'm pretty,0.535,0.622,0.0593,0.541,143.533
429,Photograph,0.228,0.103,0.0489,0.99,114.404
430,Something Just Like This,0.617,0.635,0.0317,0.0498,103.019
431,Take Me To Church,0.566,0.664,0.0464,0.634,128.945
432,Circles,0.6,0.887,0.063,0.0232,128.088
433,Shallow,0.599,0.0378,0.0433,0.994,74.024
434,Love Yourself,0.864,0.714,0.278,0.289,137.923
435,Riptide,0.667,0.258,0.0348,0.978,78.006
436,All of Me,0.606,0.72,0.0283,0.000149,127.985
437,Thunder,0.622,0.639,0.143,0.623,149.997
438,goosebumps,0.879,0.715,0.193,0.039,75.019
439,Broken Bones,0.779,0.486,0.193,0.802,123.993
