,Unnamed: 0,cancion,danceability,energy,speachiness,acousticness,tempo,generos
56,56,Can't Hold Us (feat. Ray Dalton),0.633,0.927,0.0839,0.0267,146.097,[]
57,57,Waiting For Love,0.579,0.736,0.0527,0.31,127.999,"['dance pop', 'edm', 'pop', 'pop dance']"
58,58,Yellow,0.429,0.661,0.0281,0.00239,173.372,"['permanent wave', 'pop']"
59,59,Unholy (feat. Kim Petras),0.719,0.454,0.0707,0.0138,131.007,"['pop', 'uk pop']"
60,60,Bohemian Rhapsody - Remastered 2011,0.397,0.386,0.0503,0.271,144.242,[]
61,61,Hotel California - 2013 Remaster,0.579,0.508,0.027,0.00574,147.125,"['album rock', 'classic rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']"
62,62,Somebody That I Used to Know,0.864,0.495,0.037,0.591,129.062,['australian pop']
63,63,Pompeii,0.679,0.715,0.0407,0.0755,127.435,"['metropopolis', 'modern rock', 'pop']"
64,64,Down 2,0.62,0.776,0.0365,0.36,93.964,"['contemporary country', 'country', 'country road', 'modern country rock']"
65,65,Sugar (feat. Francesco Yates),0.776,0.118,0.0569,0.896,119.944,['canadian pop']
66,66,Another One Bites The Dust - Remastered 2011,0.932,0.528,0.161,0.115,109.975,"['classic rock', 'glam rock', 'rock']"
67,67,Numb,0.357,0.882,0.0673,0.739,105.301,['british blues']
68,68,Timber,0.598,0.554,0.0273,0.123,124.918,"['dance pop', 'miami hip hop', 'pop']"
69,69,Call Me Maybe,0.782,0.58,0.0407,0.0114,120.021,"['canadian pop', 'dance pop', 'pop']"
70,70,Running on Empty,0.541,0.711,0.0383,0.0635,136.58,"['album rock', 'classic rock', 'country rock', 'folk', 'folk rock', 'heartland rock', 'mellow gold', 'piano rock', 'singer-songwriter', 'soft rock']"
71,71,Sweet Dreams (Are Made of This) - Remastered,0.519,0.512,0.0279,0.28,110.156,[]
72,72,Counting Stars,0.56,0.737,0.0389,0.00502,122.021,"['piano rock', 'pop']"
73,73,New Beginnings,0.187,0.0178,0.0385,0.953,67.406,['calming instrumental']
74,74,Africa,0.798,0.423,0.103,0.155,124.976,[]
75,75,We Will Rock You - Remastered 2011,0.146,0.924,0.0855,0.016,173.411,[]
76,76,Time of Our Lives,0.721,0.802,0.0583,0.0921,124.022,"['dance pop', 'miami hip hop', 'pop']"
77,77,Lose Yourself,0.692,0.744,0.257,0.00868,171.374,"['detroit hip hop', 'hip hop', 'rap']"
78,78,Locked out of Heaven,0.726,0.698,0.0431,0.049,143.994,"['dance pop', 'pop']"
79,79,Do I Wanna Know?,0.548,0.532,0.0323,0.186,85.03,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']"
80,80,Valencia,0.779,0.815,0.0553,0.438,90.524,[]
81,81,"Shakira: Bzrp Music Sessions, Vol. 53",0.842,0.745,0.0399,0.281,122.06,"['argentine hip hop', 'pop venezolano', 'trap argentino', 'trap latino', 'urbano latino']"
82,82,Titanium (feat. Sia),0.604,0.788,0.103,0.0678,126.06,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']"
83,83,Cold Heart - PNAU Remix,0.796,0.798,0.0317,0.034,116.032,"['glam rock', 'mellow gold', 'piano rock', 'rock']"
84,84,PABLO - Sped Up,0.706,0.384,0.176,0.0137,95.004,[]
85,85,The Real Slim Shady,0.949,0.661,0.0572,0.0302,104.504,"['detroit hip hop', 'hip hop', 'rap']"
86,86,Set Fire to the Rain,0.716,0.777,0.0284,0.0291,126.991,"['gymcore', 'heavy alternative']"
87,87,No Role Modelz,0.657,0.33,0.0299,0.698,79.962,"['slowed and reverb', 'sped up']"
88,88,I Failed You,0.31,0.721,0.268,0.0387,169.976,"['cloud rap', 'sigilkore']"
89,89,Chop Suey!,0.417,0.934,0.119,0.000278,127.066,"['alternative metal', 'nu metal', 'rap metal', 'rock']"
90,90,Ni**as In Paris,0.789,0.858,0.311,0.127,140.022,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap']"
91,91,Sweater Weather,0.612,0.807,0.0336,0.0495,124.053,"['modern alternative rock', 'modern rock', 'pop']"
92,92,All Girls Are The Same,0.671,0.529,0.307,0.0769,161.989,"['chicago rap', 'melodic rap', 'rap']"
93,93,Mockingbird,0.794,0.31,0.106,0.832,185.324,[]
94,94,Why'd You Only Call Me When You're High?,0.358,0.0668,0.0381,0.951,146.005,[]
95,95,Cape Cabo,0.72,0.725,0.277,0.34,180.063,[]
96,96,Feel Good Inc.,0.768,0.374,0.174,0.551,130.017,['lo-fi cover']
97,97,Workout,0.776,0.608,0.0569,0.0109,149.991,[]
98,98,Payphone,0.739,0.756,0.0394,0.0136,110.028,['pop']
99,99,Not Like Us,0.898,0.472,0.0776,0.0107,101.061,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
100,100,MILLION DOLLAR BABY,0.849,0.699,0.0436,0.0982,138.003,['chill abstract hip hop']
101,101,euphoria,0.823,0.337,0.738,0.645,145.922,[]
102,102,Like That,0.856,0.339,0.173,0.0516,136.159,"['dream plugg', 'plugg', 'pluggnb']"
103,103,Family Matters,0.603,0.483,0.216,0.00384,133.983,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
104,104,Fortnight (feat. Post Malone),0.504,0.386,0.0308,0.502,192.004,"['chicago rap', 'rap']"
105,105,System,0.531,0.621,0.426,0.602,112.352,[]
106,106,A Bar Song (Tipsy),0.722,0.709,0.0273,0.0633,81.012,['pop rap']
107,107,meet the grahams,0.565,0.922,0.117,0.000244,130.033,[]
108,108,Para Dey!,0.421,0.238,0.0427,0.771,148.001,"['latin pop', 'puerto rican pop']"
109,109,Espresso,0.701,0.76,0.0285,0.107,103.969,['pop']
110,110,Fly Guys,0.779,0.408,0.333,0.0295,95.087,[]
111,111,Down Bad,0.541,0.366,0.0748,0.56,159.707,['pop']
112,112,Beautiful Things,0.472,0.471,0.0603,0.151,105.029,['singer-songwriter pop']
113,113,Ginger,0.605,0.919,0.349,0.136,129.961,"['antiviral pop', 'comic', 'parody']"
114,114,Too Sweet,0.803,0.597,0.141,0.000619,136.008,"['irish singer-songwriter', 'modern rock', 'pov: indie']"
115,115,I Can Do It With a Broken Heart,0.701,0.751,0.0502,0.123,129.994,['pop']
116,116,Gata Only,0.791,0.499,0.0509,0.446,99.986,['reggaeton chileno']
117,117,Type Shit,0.64,0.552,0.129,0.0215,144.941,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']"
118,118,Pop Girl,0.834,0.571,0.0615,0.64,109.937,"[""children's music"", 'nursery']"
119,119,But Daddy I Love Him,0.521,0.72,0.104,0.384,79.943,['pop']
120,120,Magnetic,0.442,0.593,0.0345,0.793,92.124,"['alternative rock', 'chamber pop', 'lo-fi', 'melancholia', 'metropopolis', 'permanent wave', 'tape club']"
121,121,Push Ups,0.598,0.696,0.112,0.0153,91.057,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
122,122,Lose Control,0.596,0.711,0.0379,0.162,159.812,"[""children's music""]"
123,123,"So Long, London",0.423,0.533,0.322,0.73,160.218,['pop']
124,124,Who’s Afraid of Little Old Me?,0.606,0.338,0.048,0.315,119.88,['pop']
125,125,Guilty as Sin?,0.626,0.428,0.0261,0.607,94.95,['pop']
126,126,The Tortured Poets Department,0.601,0.44,0.0256,0.0442,110.315,['pop']
127,127,My Boy Only Breaks His Favorite Toys,0.796,0.451,0.0317,0.219,120.079,[]
128,128,we can't be friends (wait for your love),0.645,0.646,0.0427,0.0615,115.842,['pop']
129,129,Florida!!! (feat. Florence + The Machine),0.533,0.573,0.138,0.178,150.088,['pop']
130,130,The Smallest Man Who Ever Lived,0.426,0.41,0.0581,0.52,142.377,['pop']
131,131,i like the way you kiss me,0.599,0.946,0.0447,0.000938,151.647,[]
132,132,Bling-Bang-Bang-Born,0.853,0.822,0.246,0.0841,157.013,['j-pop']
133,133,Get It Sexyy,0.811,0.64,0.274,0.0957,145.031,['trap queen']
134,134,Saturn,0.131,0.205,0.0387,0.624,146.089,"['ambient worship', 'chamber pop']"
135,135,Snooze,0.559,0.551,0.132,0.141,143.008,"['pop', 'r&b', 'rap']"
136,136,Fresh Out The Slammer,0.808,0.513,0.678,0.12,106.739,['pop']
137,137,loml,0.83,0.752,0.266,0.0361,124.948,[]
138,138,Cruel Summer,0.666,0.871,0.0272,0.27,108.501,['pop']
139,139,Last Night,0.489,0.624,0.0278,0.326,90.009,['american metalcore']
