,Unnamed: 0,cancion,danceability,energy,speachiness,acousticness,tempo,artista
230,230,"Ride Or Die, Pt. 2 (with Villano Antillano & Tokischa)",0.767,0.72,0.0659,0.0877,139.995,Sevdaliza
231,231,Pacas De Billetes,0.718,0.726,0.0403,0.0889,142.986,Natanael Cano
232,232,LA PEOPLE,0.823,0.785,0.0542,0.296,131.849,''El Obama'' Carlos Anderson
233,233,DEJA VU,0.723,0.618,0.0398,0.0148,127.989,Thouxanbanfauni
234,234,LOU LOU,0.739,0.579,0.0509,0.0622,130.002,Gabito Ballesteros
235,235,Moscow Mule,0.493,0.963,0.0638,2.25e-05,147.992,Autoheart
236,236,UNA CERVEZA,0.725,0.801,0.0372,0.0333,135.162,Fuerza Regida
237,237,todo,0.848,0.895,0.241,0.0309,125.024,DJs From Mars
238,238,BELLAKEO,0.72,0.88,0.101,0.0562,180.011,Peso Pluma
239,239,TQM,0.388,0.648,0.038,0.116,163.861,Tame Impala
240,240,Diamantes,0.662,0.759,0.0353,0.389,92.438,Natanael Cano
241,241,Soy especial y ellos pa' pasar el rato,0.554,0.437,0.0853,0.705,138.382,Josh
242,242,La Víctima,0.778,0.835,0.0767,0.152,140.082,Xavi
243,243,FARDOS,0.785,0.897,0.0332,0.14,121.982,JC Reyes
244,244,YW&F - Versión Reggaeton,0.7,0.608,0.0471,0.184,98.033,Oscar Maydon
245,245,SSS y no la de balvin,0.718,0.711,0.11,0.157,173.916,Sammer
246,246,ROCKSTAR,0.688,0.466,0.0641,0.29,76.005,<3BEAT
247,247,PRC,0.419,0.731,0.0745,0.0762,140.983,N.E.R.D
248,248,A Puro Dolor,0.743,0.634,0.0334,0.0632,129.888,Gabito Ballesteros
249,249,Bailando,0.807,0.644,0.0308,0.669,130.015,Lirow
250,250,Proyecto X,0.796,0.55,0.0746,0.137,127.982,Gabito Ballesteros
251,251,Tipo Gatsby,0.563,0.84,0.0309,0.021,125.613,Oscar Maydon
252,252,Igual Que Un Ángel (with Peso Pluma),0.693,0.0972,0.0367,0.806,84.989,LatinoFi
253,253,Bendecida,0.67,0.476,0.0333,0.0117,110.948,Harshal
254,254,El Azul,0.561,0.643,0.054,0.232,143.907,Junior H
255,255,Regalo De Dios,0.792,0.516,0.027,0.197,108.939,Julión Álvarez y su Norteño Banda
256,256,Ojitos Lindos,0.647,0.686,0.0413,0.08,79.928,Bad Bunny
257,257,FLASHES,0.839,0.83,0.0479,0.363,117.997,Milky Chance
258,258,Efecto,0.801,0.475,0.0516,0.141,98.047,Bad Bunny
259,259,Vete,0.462,0.421,0.0496,0.979,184.006,Los Bukis
260,260,GTA,0.817,0.505,0.319,0.123,76.991,Ginger Billy
261,261,A 200,0.573,0.716,0.27,0.409,131.781,Ricchie
262,262,Brillo,0.771,0.782,0.0341,0.305,125.027,Natanael Cano
263,263,QLONA,0.854,0.374,0.303,0.211,99.978,ILUMINADO DJ
264,264,O Me Voy O Te Vas,0.684,0.509,0.0397,0.076,99.24,Natanael Cano
265,265,FoNo,0.747,0.126,0.79,0.716,94.466,Foo Fighters
266,266,Mente Positiva,0.576,0.604,0.047,0.27,99.746,Junior H
267,267,$AD BOYZ II,0.548,0.591,0.0592,0.399,83.411,Junior H
268,268,Morritas,0.675,0.611,0.0261,0.593,95.074,Natanael Cano
269,269,LOCO CON CHOCARTE,0.708,0.54,0.251,0.0138,172.094,Mosby
270,270,Jálale alv,0.899,0.7,0.11,0.218,134.831,Bb trickz
271,271,Primera Cita,0.536,0.396,0.0687,0.604,157.846,Carin Leon
272,272,Ch y la Pizza,0.628,0.668,0.117,0.329,148.746,Fuerza Regida
273,273,Cherokee,0.424,0.0169,0.0438,0.993,132.176,Andy Luma
274,274,Como Jordan,0.714,0.873,0.0311,0.028,112.503,Junior H
275,275,DILUVIO,0.9,0.648,0.162,0.4,91.992,Jeeiph
276,276,Tití Me Preguntó,0.858,0.945,0.0387,0.288,127.989,Alar3
277,277,Oscuridad,0.731,0.658,0.0343,0.0769,109.982,Jasper
278,278,Fin de Semana,0.699,0.541,0.0826,0.0628,98.395,Oscar Maydon
279,279,PERRO NEGRO,0.873,0.53,0.203,0.526,94.978,Super ShanJo
280,280,Lalalalalá,0.948,0.579,0.0928,0.13,121.999,MIKOLAS
281,281,CRAZYZ,0.809,0.849,0.0738,0.251,126.0,Fuerza Regida
282,282,Apaga El Cel,0.842,0.445,0.0698,0.0349,99.988,Filtramusic
283,283,Me Porto Bonito,0.885,0.732,0.0687,0.0638,97.004,ILUMINADO DJ
284,284,PALETA,0.782,0.798,0.219,0.0815,175.917,Sam Baby
285,285,Selfies,0.782,0.722,0.0309,0.783,133.826,Natanael Cano
286,286,Igualito a Mi Apá,0.758,0.812,0.0854,0.188,144.908,Fuerza Regida
287,287,ROMPECABEZAS,0.742,0.887,0.0313,0.0264,119.989,YACO BEATS
288,288,EL AMOR DE SU VIDA,0.616,0.834,0.0664,0.06,151.701,Grupo Frontera
289,289,Mi Bello Angel,0.807,0.665,0.0497,0.0185,127.909,Natanael Cano
290,290,ELOVRGA,0.808,0.454,0.0434,0.124,130.025,Gerry Garcia
291,291,Guayani,0.566,0.765,0.293,0.144,82.621,Merse
292,292,Alucin,0.787,0.769,0.0335,0.00331,128.0,Eugenio Esquivel
293,293,Dile a El,0.818,0.697,0.0367,0.295,126.966,El Chaval de la Bachata
294,294,Yonaguni,0.653,0.139,0.0348,0.916,80.011,Sunday Without You
295,295,120,0.707,0.341,0.935,0.278,133.7,Matthias Ernst
296,296,Blame Brett,0.461,0.874,0.046,0.00364,156.023,The Beaches
297,297,Creeper,0.514,0.603,0.0249,0.0254,90.989,Creeper Lagoon
298,298,BABY SAID,0.622,0.715,0.0323,0.000982,131.012,Måneskin
299,299,FedEx,0.797,0.644,0.175,0.00881,138.041,Future
300,300,LosT,0.632,0.613,0.056,0.877,163.149,Miso
301,301,Marvin Lee,0.492,0.26,0.0921,0.646,111.519,Drake
302,302,Run it Up,0.867,0.591,0.128,0.172,148.007,YoungBoy Never Broke Again
303,303,State Of Mind,0.669,0.835,0.0352,0.0118,126.022,Duke & Jones
304,304,Embers,0.262,0.00716,0.0382,0.996,160.852,Wilson Trouvé
305,305,Forgotten One,0.52,0.983,0.0859,0.000971,95.962,mikeeysmind
306,306,Hanging by a Thread,0.541,0.864,0.0357,0.00118,124.557,Lifehouse
307,307,Lay Me Down,0.418,0.332,0.0492,0.771,119.164,Sam Smith
308,308,Straight Shooter,0.612,0.644,0.0288,0.754,119.809,The Mamas & The Papas
309,309,Revolution,0.408,0.831,0.208,0.0733,121.38,The Beatles
310,310,Soda Fountain,0.947,0.439,0.109,0.183,109.99,Langston Doobs
311,311,How It B,0.654,0.479,0.0416,0.0142,75.523,Yeat
312,312,John Hartleyborne (Must Die),0.556,0.476,0.0257,0.182,93.997,JJ Sterry
313,313,Who Will Save You Now,0.218,0.462,0.0557,0.39,119.976,Les Friction
314,314,Reprise,0.595,0.448,0.0267,0.925,120.117,salvia palth
315,315,Big Blue,0.509,0.458,0.0329,0.869,137.109,Hovvdy
316,316,This Love,0.712,0.862,0.0378,0.0525,95.051,Maroon 5
317,317,Guilty,0.566,0.969,0.046,0.0287,100.012,Linkin Park
318,318,A Little Bit Happy,0.589,0.685,0.0306,0.363,111.903,TALK
319,319,I Don't Know,0.673,0.207,0.0857,0.584,90.024,ETHAN S JASSO
320,320,Shame,0.714,0.665,0.0381,0.00588,133.805,"Evelyn ""Champagne"" King"
321,321,Resurrection,0.139,0.0484,0.0344,0.103,81.445,Hans Zimmer
322,322,Tough Lover,0.541,0.7,0.279,0.617,94.384,Christina Aguilera
323,323,Ocean On The Moon,0.156,0.0155,0.0457,0.985,136.852,Muse K
324,324,MY HAPPINESS,0.445,0.823,0.0302,0.00163,85.935,Enrose
325,325,Pray for You,0.732,0.678,0.0886,0.0867,100.626,The Weeknd
326,326,My Eyelash Girl,0.455,0.621,0.0517,0.651,119.043,Travis Scott
327,327,Stay Blessed,0.585,0.485,0.431,0.187,77.733,Bryson Tiller
328,328,Mountain Blue,0.463,0.462,0.0276,0.366,61.548,Trace Mountains
329,329,Not Strong Enough,0.502,0.798,0.0414,0.00291,126.976,boygenius
330,330,Looking From a Distance,0.417,0.0909,0.0373,0.959,90.075,Lana Del Rey
331,331,God Bless the Irony,0.299,0.422,0.0285,0.0873,67.797,Damedot
332,332,Irrational,0.754,0.59,0.046,0.192,147.107,Iration
333,333,I Am The Shadow,0.467,0.727,0.0724,0.0152,144.202,lxakies
334,334,Nothing To Prove,0.752,0.758,0.114,0.0973,90.493,Jeezy
